,YEAR,State_Abrv,COUNTY_Abrv,MME_Total,STATE,treatment_status,COUNTY,TOTAL_POP,_merge,MME_SHIPPED
202,2006,FL,BREVARD,201186153.4030988,Florida,Treatment,Brevard County,535138,both,375.9519103541494
203,2006,FL,BROWARD,1222607389.6557946,Florida,Treatment,Broward County,1739348,both,702.9113148465946
204,2006,FL,CALHOUN,1851905.8230000082,Florida,Treatment,Calhoun County,13997,both,132.30733892977125
205,2006,FL,CHARLOTTE,82123597.15793516,Florida,Treatment,Charlotte County,157099,both,522.750604128194
206,2006,FL,CITRUS,49646891.02933565,Florida,Treatment,Citrus County,137826,both,360.2142631240524
207,2006,FL,CLAY,69327289.97719681,Florida,Treatment,Clay County,178339,both,388.7388063025856
208,2006,FL,COLLIER,107528680.73414846,Florida,Treatment,Collier County,312621,both,343.95859758029195
209,2006,FL,COLUMBIA,27550681.70858759,Florida,Treatment,Columbia County,65890,both,418.13145710407633
210,2006,FL,DIXIE,2952746.1249999967,Florida,Treatment,Dixie County,15892,both,185.80078813239345
211,2006,FL,DUVAL,293452975.4727203,Florida,Treatment,Duval County,842098,both,348.47841400017614
212,2006,FL,ESCAMBIA,96186447.32700875,Florida,Treatment,Escambia County,300395,both,320.19989456218894
213,2006,FL,FLAGLER,21015019.38367524,Florida,Treatment,Flagler County,84339,both,249.17321030217622
214,2006,FL,FRANKLIN,2174577.223000001,Florida,Treatment,Franklin County,11308,both,192.3043175627875
215,2006,FL,GADSDEN,6021017.100224983,Florida,Treatment,Gadsden County,45258,both,133.03763092105225
216,2006,FL,GILCHRIST,4032605.950000002,Florida,Treatment,Gilchrist County,16223,both,248.57338038587204
217,2006,FL,GULF,3543341.6159999873,Florida,Treatment,Gulf County,15856,both,223.4700817356198
218,2006,FL,HAMILTON,1804899.5505000008,Florida,Treatment,Hamilton County,14430,both,125.07966392931398
219,2006,FL,HARDEE,3682568.104999975,Florida,Treatment,Hardee County,27049,both,136.14433454101723
220,2006,FL,HENDRY,16527160.28250023,Florida,Treatment,Hendry County,38776,both,426.22138133124173
221,2006,FL,HERNANDO,78727927.57444784,Florida,Treatment,Hernando County,164398,both,478.88616390982764
222,2006,FL,HIGHLANDS,22995715.22250013,Florida,Treatment,Highlands County,97788,both,235.15886634863307
223,2006,FL,HILLSBOROUGH,1027723784.986857,Florida,Treatment,Hillsborough County,1171826,both,877.0276346376144
224,2006,FL,HOLMES,5115280.069999997,Florida,Treatment,Holmes County,19824,both,258.03470893866006
225,2006,FL,INDIAN RIVER,43237351.08176151,Florida,Treatment,Indian River County,131463,both,328.89368934043426
226,2006,FL,JACKSON,9866875.337500047,Florida,Treatment,Jackson County,48265,both,204.43127188438925
227,2006,FL,JEFFERSON,1465484.9204999972,Florida,Treatment,Jefferson County,14461,both,101.34049654242426
228,2006,FL,LAFAYETTE,1215701.3750000014,Florida,Treatment,Lafayette County,8341,both,145.75007493106358
229,2006,FL,LAKE,64563419.32241898,Florida,Treatment,Lake County,281329,both,229.49436184118588
230,2006,FL,LEE,309886706.7443065,Florida,Treatment,Lee County,582678,both,531.8318294912567
231,2006,FL,LEON,43067639.04172336,Florida,Treatment,Leon County,263076,both,163.70797428014475
232,2006,FL,LEVY,18659653.5430002,Florida,Treatment,Levy County,39447,both,473.03099203995737
233,2006,FL,LIBERTY,628449.8325000001,Florida,Treatment,Liberty County,8011,both,78.44836256397456
234,2006,FL,MADISON,2315633.3313624896,Florida,Treatment,Madison County,19299,both,119.98721857932999
235,2006,FL,MANATEE,150205643.69561988,Florida,Treatment,Manatee County,313771,both,478.71104625864047
236,2006,FL,MARION,114208975.85438544,Florida,Treatment,Marion County,316310,both,361.066598761928
237,2006,FL,MARTIN,68573128.78736034,Florida,Treatment,Martin County,141802,both,483.58365035302984
238,2006,FL,MIAMI-DADE,303039718.08599645,Florida,Treatment,Miami-Dade County,2405911,both,125.95632925989217
239,2006,FL,MONROE,42203180.11572404,Florida,Treatment,Monroe County,73793,both,571.9130556519459
240,2006,FL,NASSAU,26318179.44131265,Florida,Treatment,Nassau County,67823,both,388.04210137140274
241,2006,FL,OKALOOSA,51768878.54174779,Florida,Treatment,Okaloosa County,184071,both,281.2440772405637
242,2006,FL,OKEECHOBEE,20628537.535312627,Florida,Treatment,Okeechobee County,39668,both,520.0296847663766
243,2006,FL,ORANGE,249616181.34779385,Florida,Treatment,Orange County,1083429,both,230.39459101408016
244,2006,FL,OSCEOLA,50817721.96880998,Florida,Treatment,Osceola County,242081,both,209.92032406016986
245,2006,FL,PALM BEACH,645319179.4897325,Florida,Treatment,Palm Beach County,1284489,both,502.39369857564566
246,2006,FL,PASCO,268426053.37069625,Florida,Treatment,Pasco County,439529,both,610.7129526622731
247,2006,FL,PINELLAS,607000751.4847232,Florida,Treatment,Pinellas County,924182,both,656.7978509478903
248,2006,FL,POLK,178941780.43744537,Florida,Treatment,Polk County,568324,both,314.85874331797595
249,2006,FL,PUTNAM,38637502.97338702,Florida,Treatment,Putnam County,74663,both,517.4919702314
250,2006,FL,SANTA ROSA,44111678.51094916,Florida,Treatment,Santa Rosa County,142983,both,308.50995230866016
251,2006,FL,SARASOTA,186351133.29228958,Florida,Treatment,Sarasota County,371361,both,501.805879702741
252,2006,FL,SEMINOLE,134735668.49281242,Florida,Treatment,Seminole County,413218,both,326.06437399341854
253,2006,FL,SUMTER,12822867.205000125,Florida,Treatment,Sumter County,76202,both,168.27468052019796
254,2006,FL,SUWANNEE,9345596.314950027,Florida,Treatment,Suwannee County,39533,both,236.39987643108356
255,2006,FL,TAYLOR,5544284.80749998,Florida,Treatment,Taylor County,20793,both,266.6418894579897
256,2006,FL,UNION,2453713.8809999987,Florida,Treatment,Union County,14873,both,164.97773690580237
257,2006,FL,VOLUSIA,166518405.3276624,Florida,Treatment,Volusia County,494748,both,336.57216467305057
258,2006,FL,WAKULLA,5464253.893999984,Florida,Treatment,Wakulla County,27785,both,196.66200806190332
259,2006,FL,WALTON,22041414.0556251,Florida,Treatment,Walton County,51145,both,430.95931284827645
260,2006,FL,WASHINGTON,7659031.900999985,Florida,Treatment,Washington County,22860,both,335.0407655730527
261,2006,GA,APPLING,3996843.778999977,Georgia,Control,Appling County,17725,both,225.4918916220015
262,2006,GA,ATKINSON,1375483.6860000012,Georgia,Control,Atkinson County,8197,both,167.80330437965122
263,2006,GA,BACON,4586778.210999987,Georgia,Control,Bacon County,10682,both,429.39320454970857
264,2006,GA,BAKER,9651.6,Georgia,Control,Baker County,3877,both,2.4894506061387673
265,2006,GA,BALDWIN,11069705.010362634,Georgia,Control,Baldwin County,46513,both,237.99163696950603
266,2006,GA,BANKS,2454162.715,Georgia,Control,Banks County,17076,both,143.71999970719136
267,2006,GA,BARROW,17712133.381862767,Georgia,Control,Barrow County,61395,both,288.4947207730722
268,2006,GA,BARTOW,29031607.68862521,Georgia,Control,Bartow County,92983,both,312.22489797732067
269,2006,GA,BEN HILL,2999890.902499978,Georgia,Control,Ben Hill County,17525,both,171.17779757489174
270,2006,GA,BERRIEN,3771482.194499984,Georgia,Control,Berrien County,18051,both,208.93480663121068
271,2006,GA,BIBB,82240635.74837175,Georgia,Control,Bibb County,154510,both,532.2673985397175
272,2006,GA,BLECKLEY,4733628.898499978,Georgia,Control,Bleckley County,12553,both,377.0914441567735
273,2006,GA,BRANTLEY,4096568.687999995,Georgia,Control,Brantley County,16895,both,242.4722514353356
274,2006,GA,BROOKS,3331259.877499996,Georgia,Control,Brooks County,16309,both,204.25899058801866
275,2006,GA,BRYAN,9074078.661500026,Georgia,Control,Bryan County,27346,both,331.82471518686555
276,2006,GA,BULLOCH,9142968.817500088,Georgia,Control,Bulloch County,64304,both,142.1835160720964
277,2006,GA,BURKE,2119854.5849999995,Georgia,Control,Burke County,22875,both,92.67123868852457
278,2006,GA,BUTTS,10585245.868500033,Georgia,Control,Butts County,22669,both,466.94807307336157
279,2006,GA,CALHOUN,335791.11599999986,Georgia,Control,Calhoun County,6350,both,52.8804907086614
280,2006,GA,CAMDEN,23295820.18631264,Georgia,Control,Camden County,47086,both,494.75046056816547
281,2006,GA,CANDLER,2381031.7079999982,Georgia,Control,Candler County,10388,both,229.2098294185597
282,2006,GA,CARROLL,52836822.32276078,Georgia,Control,Carroll County,105853,both,499.15280929931873
283,2006,GA,CATOOSA,18045529.85886267,Georgia,Control,Catoosa County,61095,both,295.36835843952315
284,2006,GA,CHARLTON,1999955.25285,Georgia,Control,Charlton County,12089,both,165.43595440896684
285,2006,GA,CHATHAM,51483071.97740736,Georgia,Control,Chatham County,246896,both,208.52128822422137
286,2006,GA,CHATTOOGA,7965257.681174993,Georgia,Control,Chattooga County,25640,both,310.6574758648593
287,2006,GA,CHEROKEE,39825913.97831314,Georgia,Control,Cherokee County,193241,both,206.0945346914637
288,2006,GA,CLARKE,39075025.61497443,Georgia,Control,Clarke County,112074,both,348.6537967322879
289,2006,GA,CLAY,734474.4375000001,Georgia,Control,Clay County,3232,both,227.25075417698022
290,2006,GA,CLAYTON,32395982.91017518,Georgia,Control,Clayton County,258552,both,125.29774633410369
291,2006,GA,CLINCH,2043476.0010000016,Georgia,Control,Clinch County,6828,both,299.2788519332164
292,2006,GA,COBB,142265121.36493823,Georgia,Control,Cobb County,661913,both,214.93024213897934
293,2006,GA,COFFEE,18291431.137450296,Georgia,Control,Coffee County,40702,both,449.3988289875263
294,2006,GA,COLQUITT,4909541.860537446,Georgia,Control,Colquitt County,43700,both,112.34649566447246
295,2006,GA,COLUMBIA,23295355.943225194,Georgia,Control,Columbia County,110845,both,210.16154037823262
296,2006,GA,COOK,2461322.501499997,Georgia,Control,Cook County,16622,both,148.07619429069888
297,2006,GA,COWETA,21746700.0015003,Georgia,Control,Coweta County,113749,both,191.1814609491099
298,2006,GA,CRAWFORD,846484.6875000001,Georgia,Control,Crawford County,12943,both,65.40096480723172
299,2006,GA,CRISP,4993022.423999959,Georgia,Control,Crisp County,22718,both,219.78265798045422
300,2006,GA,DADE,4147432.028499989,Georgia,Control,Dade County,16411,both,252.72268773992985
301,2006,GA,DAWSON,9113889.742000015,Georgia,Control,Dawson County,20660,both,441.136967182963
302,2006,GA,DECATUR,5450182.189999957,Georgia,Control,Decatur County,27835,both,195.80320423926554
303,2006,GA,DEKALB,64811007.48270624,Georgia,Control,DeKalb County,676687,both,95.77693598769629
304,2006,GA,DODGE,7700920.957725002,Georgia,Control,Dodge County,20954,both,367.5155558711942
305,2006,GA,DOOLY,693151.2270000007,Georgia,Control,Dooly County,13719,both,50.524909031270546
306,2006,GA,DOUGHERTY,15793530.142725632,Georgia,Control,Dougherty County,94418,both,167.27244956179575
307,2006,GA,DOUGLAS,35668308.37244983,Georgia,Control,Douglas County,119918,both,297.43915319176295
308,2006,GA,EARLY,977284.0125000002,Georgia,Control,Early County,11648,both,83.90144338083793
309,2006,GA,EFFINGHAM,6862471.809224962,Georgia,Control,Effingham County,47823,both,143.497309019195
310,2006,GA,ELBERT,7556672.481999982,Georgia,Control,Elbert County,20631,both,366.27756686539584
311,2006,GA,EMANUEL,8887736.872500021,Georgia,Control,Emanuel County,22091,both,402.3238817844381
312,2006,GA,EVANS,4318897.940999987,Georgia,Control,Evans County,10889,both,396.6294371383953
313,2006,GA,FANNIN,8589841.474000009,Georgia,Control,Fannin County,22758,both,377.4427222954569
314,2006,GA,FAYETTE,22585723.255711503,Georgia,Control,Fayette County,104099,both,216.96388299322282
315,2006,GA,FLOYD,43319736.00994919,Georgia,Control,Floyd County,95165,both,455.20659916932897
316,2006,GA,FORSYTH,23957384.936725184,Georgia,Control,Forsyth County,147228,both,162.72302100636554
317,2006,GA,FRANKLIN,13745249.143862545,Georgia,Control,Franklin County,21956,both,626.0361242422365
318,2006,GA,FULTON,124059833.83147378,Georgia,Control,Fulton County,845181,both,146.78492989250088
319,2006,GA,GILMER,10316900.070725067,Georgia,Control,Gilmer County,27665,both,372.9224677652292
320,2006,GA,GLASCOCK,302.7000000000001,Georgia,Control,Glascock County,2893,both,0.10463187003110962
321,2006,GA,GLYNN,23975292.71100028,Georgia,Control,Glynn County,74870,both,320.22562723387574
322,2006,GA,GORDON,13377658.454000227,Georgia,Control,Gordon County,52161,both,256.4685963459333
323,2006,GA,GRADY,2266556.9585,Georgia,Control,Grady County,24384,both,92.95263117208006
324,2006,GA,GREENE,3760173.401724983,Georgia,Control,Greene County,15587,both,241.23778801084129
325,2006,GA,GWINNETT,105160133.10981186,Georgia,Control,Gwinnett County,740267,both,142.05703227323636
326,2006,GA,HABERSHAM,11947394.466450127,Georgia,Control,Habersham County,40616,both,294.15487656219534
327,2006,GA,HALL,37456764.44179957,Georgia,Control,Hall County,166524,both,224.93312940957205
328,2006,GA,HANCOCK,581501.147,Georgia,Control,Hancock County,9650,both,60.25918621761658
329,2006,GA,HARALSON,25999723.028450023,Georgia,Control,Haralson County,28121,both,924.5660904110815
330,2006,GA,HARRIS,655450.7625000022,Georgia,Control,Harris County,29289,both,22.37873476390461
331,2006,GA,HART,8871457.820437498,Georgia,Control,Hart County,24764,both,358.24009935541505
332,2006,GA,HEARD,1032839.2125000005,Georgia,Control,Heard County,11553,both,89.40008763957418
333,2006,GA,HENRY,38097249.57894928,Georgia,Control,Henry County,180304,both,211.29453355970628
334,2006,GA,HOUSTON,32261062.367087565,Georgia,Control,Houston County,128978,both,250.12841234231857
335,2006,GA,IRWIN,761775.5400000012,Georgia,Control,Irwin County,9852,both,77.32191839220475
336,2006,GA,JACKSON,12812362.985712647,Georgia,Control,Jackson County,54037,both,237.10352139668464
337,2006,GA,JASPER,1836033.457500004,Georgia,Control,Jasper County,13370,both,137.32486593118952
338,2006,GA,JEFF DAVIS,3197612.132999977,Georgia,Control,Jeff Davis County,14028,both,227.94497668947656
339,2006,GA,JEFFERSON,4767473.792999992,Georgia,Control,Jefferson County,16889,both,282.2827753567406
340,2006,GA,JENKINS,2176268.34,Georgia,Control,Jenkins County,8533,both,255.04140864877533
341,2006,GA,JOHNSON,1587304.717499999,Georgia,Control,Johnson County,9638,both,164.69233424984427
342,2006,GA,JONES,2561929.399087499,Georgia,Control,Jones County,27563,both,92.94813333408914
343,2006,GA,LAMAR,2418094.4059999995,Georgia,Control,Lamar County,17115,both,141.28509529652348
344,2006,GA,LANIER,1711735.4050000017,Georgia,Control,Lanier County,8509,both,201.1676348572102
345,2006,GA,LAURENS,19345904.7525006,Georgia,Control,Laurens County,47287,both,409.1167710470235
346,2006,GA,LEE,1091535.4500000037,Georgia,Control,Lee County,27365,both,39.888012059199845
347,2006,GA,LIBERTY,4391264.294999932,Georgia,Control,Liberty County,63047,both,69.65064626389729
348,2006,GA,LINCOLN,1521472.754999999,Georgia,Control,Lincoln County,8198,both,185.59072395706258
349,2006,GA,LONG,486602.2874999996,Georgia,Control,Long County,12152,both,40.042979550691214
